provider,ride_year,month,hour,gender,user_type,trip_count,avg_duration
baywheels,2017,6,0,NULL,Subscriber,5,6.128
baywheels,2017,6,1,NULL,Subscriber,1,9.38
baywheels,2017,6,3,NULL,Customer,2,76.795
baywheels,2017,6,5,NULL,Customer,4,165.265
baywheels,2017,6,5,NULL,Subscriber,10,7.218
baywheels,2017,6,6,NULL,Customer,2,48.64
baywheels,2017,6,6,NULL,Subscriber,44,10.14
baywheels,2017,6,7,NULL,Customer,2,15.76
baywheels,2017,6,7,NULL,Subscriber,113,14.4459292
baywheels,2017,6,8,NULL,Customer,15,30.06333333
baywheels,2017,6,8,NULL,Subscriber,239,10.04820084
baywheels,2017,6,9,NULL,Customer,14,17.41714286
baywheels,2017,6,9,NULL,Subscriber,208,9.294423077
baywheels,2017,6,10,NULL,Customer,29,69.50827586
baywheels,2017,6,10,NULL,Subscriber,100,14.1901
baywheels,2017,6,11,NULL,Customer,23,57.36913043
baywheels,2017,6,11,NULL,Subscriber,92,10.50032609
baywheels,2017,6,12,NULL,Customer,40,61.736
baywheels,2017,6,12,NULL,Subscriber,92,10.08043478
baywheels,2017,6,13,NULL,Customer,41,89.23097561
baywheels,2017,6,13,NULL,Subscriber,101,11.53980198
baywheels,2017,6,14,NULL,Customer,26,41.195
baywheels,2017,6,14,NULL,Subscriber,88,8.382840909
baywheels,2017,6,15,NULL,Customer,44,42.89590909
baywheels,2017,6,15,NULL,Subscriber,119,11.1307563
baywheels,2017,6,16,NULL,Customer,60,35.95533333
baywheels,2017,6,16,NULL,Subscriber,262,14.13007634
baywheels,2017,6,17,NULL,Customer,38,25.57684211
baywheels,2017,6,17,NULL,Subscriber,356,10.66533708
baywheels,2017,6,18,NULL,Customer,57,70.13052632
baywheels,2017,6,18,NULL,Subscriber,205,9.936878049
baywheels,2017,6,19,NULL,Customer,29,39.93172414
baywheels,2017,6,19,NULL,Subscriber,93,11.01086022
baywheels,2017,6,20,NULL,Customer,9,24.01444444
baywheels,2017,6,20,NULL,Subscriber,51,9.840588235
baywheels,2017,6,21,NULL,Customer,8,47.8175
baywheels,2017,6,21,NULL,Subscriber,30,9.569
baywheels,2017,6,22,NULL,Customer,4,36.785
baywheels,2017,6,22,NULL,Subscriber,18,7.296111111
baywheels,2017,6,23,NULL,Customer,3,8.283333333
baywheels,2017,6,23,NULL,Subscriber,12,7.9325
baywheels,2017,7,0,NULL,Customer,94,67.78755319
baywheels,2017,7,0,NULL,Subscriber,85,8.367882353
baywheels,2017,7,1,NULL,Customer,46,93.62847826
baywheels,2017,7,1,NULL,Subscriber,29,12.75862069
baywheels,2017,7,2,NULL,Customer,37,140.2843243
baywheels,2017,7,2,NULL,Subscriber,18,13.27888889
baywheels,2017,7,3,NULL,Customer,12,59.90916667
baywheels,2017,7,3,NULL,Subscriber,11,16.62909091
baywheels,2017,7,4,NULL,Customer,15,118.2193333
baywheels,2017,7,4,NULL,Subscriber,19,6.919473684
baywheels,2017,7,5,NULL,Customer,30,81.871
baywheels,2017,7,5,NULL,Subscriber,144,8.678263889
baywheels,2017,7,6,NULL,Customer,61,62.56721311
baywheels,2017,7,6,NULL,Subscriber,682,9.921246334
baywheels,2017,7,7,NULL,Customer,251,56.32023904
baywheels,2017,7,7,NULL,Subscriber,1933,11.93876358
baywheels,2017,7,8,NULL,Customer,412,47.05776699
baywheels,2017,7,8,NULL,Subscriber,4051,11.57300913
baywheels,2017,7,9,NULL,Customer,651,79.550553
baywheels,2017,7,9,NULL,Subscriber,3162,10.84233713
baywheels,2017,7,10,NULL,Customer,790,82.12579747
baywheels,2017,7,10,NULL,Subscriber,1265,11.80826877
baywheels,2017,7,11,NULL,Customer,980,77.92823469
baywheels,2017,7,11,NULL,Subscriber,1174,12.32932709
baywheels,2017,7,12,NULL,Customer,1091,66.19197984
baywheels,2017,7,12,NULL,Subscriber,1396,15.92129656
baywheels,2017,7,13,NULL,Customer,1081,67.88855689
baywheels,2017,7,13,NULL,Subscriber,1246,12.664061
baywheels,2017,7,14,NULL,Customer,1147,54.66028771
baywheels,2017,7,14,NULL,Subscriber,1095,14.22648402
baywheels,2017,7,15,NULL,Customer,1175,45.64624681
baywheels,2017,7,15,NULL,Subscriber,1534,13.18949804
baywheels,2017,7,16,NULL,Customer,1251,43.50773781
baywheels,2017,7,16,NULL,Subscriber,2541,11.58458087
baywheels,2017,7,17,NULL,Customer,1217,42.86222679
baywheels,2017,7,17,NULL,Subscriber,4376,12.72317642
baywheels,2017,7,18,NULL,Customer,920,40.24251087
baywheels,2017,7,18,NULL,Subscriber,2907,11.96343309
baywheels,2017,7,19,NULL,Customer,697,38.38472023
baywheels,2017,7,19,NULL,Subscriber,1543,13.11745301
baywheels,2017,7,20,NULL,Customer,431,36.76025522
baywheels,2017,7,20,NULL,Subscriber,893,15.33861142
baywheels,2017,7,21,NULL,Customer,269,46.13899628
baywheels,2017,7,21,NULL,Subscriber,506,9.959644269
baywheels,2017,7,22,NULL,Customer,185,38.40864865
baywheels,2017,7,22,NULL,Subscriber,321,20.63386293
baywheels,2017,7,23,NULL,Customer,135,73.67696296
baywheels,2017,7,23,NULL,Subscriber,164,18.80920732
baywheels,2017,8,0,NULL,Customer,158,71.55607595
baywheels,2017,8,0,NULL,Subscriber,224,13.49799107
baywheels,2017,8,1,NULL,Customer,99,85.35282828
baywheels,2017,8,1,NULL,Subscriber,118,10.47711864
baywheels,2017,8,2,NULL,Customer,73,49.29917808
baywheels,2017,8,2,NULL,Subscriber,42,26.72904762
baywheels,2017,8,3,NULL,Customer,28,91.30892857
baywheels,2017,8,3,NULL,Subscriber,28,70.1925
baywheels,2017,8,4,NULL,Customer,23,97.74913043
baywheels,2017,8,4,NULL,Subscriber,49,22.61020408
baywheels,2017,8,5,NULL,Customer,51,103.3664706
baywheels,2017,8,5,NULL,Subscriber,275,9.467854545
baywheels,2017,8,6,NULL,Customer,166,30.21295181
baywheels,2017,8,6,NULL,Subscriber,1345,9.959888476
baywheels,2017,8,7,NULL,Customer,397,30.94176322
baywheels,2017,8,7,NULL,Subscriber,3672,11.87670752
baywheels,2017,8,8,NULL,Customer,900,29.05538889
baywheels,2017,8,8,NULL,Subscriber,7781,11.05203187
baywheels,2017,8,9,NULL,Customer,992,44.03603831
baywheels,2017,8,9,NULL,Subscriber,5882,11.39040122
baywheels,2017,8,10,NULL,Customer,1250,61.517096
baywheels,2017,8,10,NULL,Subscriber,2498,12.67482786
baywheels,2017,8,11,NULL,Customer,1511,58.26789543
baywheels,2017,8,11,NULL,Subscriber,2238,13.13819482
baywheels,2017,8,12,NULL,Customer,1797,54.07896494
baywheels,2017,8,12,NULL,Subscriber,2646,11.71172714
baywheels,2017,8,13,NULL,Customer,1941,49.14216383
baywheels,2017,8,13,NULL,Subscriber,2544,14.82727201
baywheels,2017,8,14,NULL,Customer,1944,42.68701646
baywheels,2017,8,14,NULL,Subscriber,2087,13.38042645
baywheels,2017,8,15,NULL,Customer,1988,47.82464286
baywheels,2017,8,15,NULL,Subscriber,2757,12.45791803
baywheels,2017,8,16,NULL,Customer,2048,39.20540039
baywheels,2017,8,16,NULL,Subscriber,4539,11.74883675
baywheels,2017,8,17,NULL,Customer,2076,37.52421484
baywheels,2017,8,17,NULL,Subscriber,7783,12.00559681
baywheels,2017,8,18,NULL,Customer,1815,35.96793388
baywheels,2017,8,18,NULL,Subscriber,6245,12.59916413
baywheels,2017,8,19,NULL,Customer,1227,35.27088835
baywheels,2017,8,19,NULL,Subscriber,3398,13.14984403
baywheels,2017,8,20,NULL,Customer,792,34.72482323
baywheels,2017,8,20,NULL,Subscriber,2090,12.71198086
baywheels,2017,8,21,NULL,Customer,565,34.18722124
baywheels,2017,8,21,NULL,Subscriber,1288,15.91017081
baywheels,2017,8,22,NULL,Customer,405,55.1022716
baywheels,2017,8,22,NULL,Subscriber,799,14.7068836
baywheels,2017,8,23,NULL,Customer,265,40.66037736
baywheels,2017,8,23,NULL,Subscriber,453,12.25249448
baywheels,2017,9,0,NULL,Customer,177,33.42683616
baywheels,2017,9,0,NULL,Subscriber,343,20.62043732
baywheels,2017,9,1,NULL,Customer,128,67.14460938
baywheels,2017,9,1,NULL,Subscriber,175,17.7124
baywheels,2017,9,2,NULL,Customer,77,91.25519481
baywheels,2017,9,2,NULL,Subscriber,90,11.99433333
baywheels,2017,9,3,NULL,Customer,30,157.401
baywheels,2017,9,3,NULL,Subscriber,45,67.58311111
baywheels,2017,9,4,NULL,Customer,26,26.33307692
baywheels,2017,9,4,NULL,Subscriber,96,14.02
baywheels,2017,9,5,NULL,Customer,38,19.32789474
baywheels,2017,9,5,NULL,Subscriber,318,8.660943396
baywheels,2017,9,6,NULL,Customer,167,26.46712575
baywheels,2017,9,6,NULL,Subscriber,1432,10.36963687
baywheels,2017,9,7,NULL,Customer,488,31.73258197
baywheels,2017,9,7,NULL,Subscriber,4499,11.24959324
baywheels,2017,9,8,NULL,Customer,1226,34.43926591
baywheels,2017,9,8,NULL,Subscriber,9488,11.2878183
baywheels,2017,9,9,NULL,Customer,1200,45.1159
baywheels,2017,9,9,NULL,Subscriber,7081,11.33355882
baywheels,2017,9,10,NULL,Customer,1468,52.76606267
baywheels,2017,9,10,NULL,Subscriber,3348,12.7951135
baywheels,2017,9,11,NULL,Customer,1893,49.26390386
baywheels,2017,9,11,NULL,Subscriber,2806,11.72890592
baywheels,2017,9,12,NULL,Customer,1917,46.76618675
baywheels,2017,9,12,NULL,Subscriber,3302,12.41046638
baywheels,2017,9,13,NULL,Customer,1997,43.57621432
baywheels,2017,9,13,NULL,Subscriber,3269,12.65766289
baywheels,2017,9,14,NULL,Customer,1893,40.89272583
baywheels,2017,9,14,NULL,Subscriber,2765,13.96002893
baywheels,2017,9,15,NULL,Customer,2003,38.84257114
baywheels,2017,9,15,NULL,Subscriber,3289,12.58186379
baywheels,2017,9,16,NULL,Customer,2150,39.33082326
baywheels,2017,9,16,NULL,Subscriber,5442,11.9603473
baywheels,2017,9,17,NULL,Customer,2167,35.16957084
baywheels,2017,9,17,NULL,Subscriber,9233,12.17313766
baywheels,2017,9,18,NULL,Customer,1865,37.32742627
baywheels,2017,9,18,NULL,Subscriber,7217,13.19722599
baywheels,2017,9,19,NULL,Customer,1175,41.12577021
baywheels,2017,9,19,NULL,Subscriber,4028,12.12144489
baywheels,2017,9,20,NULL,Customer,743,36.80678331
baywheels,2017,9,20,NULL,Subscriber,2489,12.07008437
baywheels,2017,9,21,NULL,Customer,611,30.55330606
baywheels,2017,9,21,NULL,Subscriber,1780,13.43985393
baywheels,2017,9,22,NULL,Customer,459,40.26525054
baywheels,2017,9,22,NULL,Subscriber,1185,13.65873418
baywheels,2017,9,23,NULL,Customer,286,36.55916084
baywheels,2017,9,23,NULL,Subscriber,654,11.5033945
baywheels,2017,10,0,NULL,Customer,142,39.74471831
baywheels,2017,10,0,NULL,Subscriber,377,11.24655172
baywheels,2017,10,1,NULL,Customer,81,70.45283951
baywheels,2017,10,1,NULL,Subscriber,199,15.08221106
baywheels,2017,10,2,NULL,Customer,64,41.42984375
baywheels,2017,10,2,NULL,Subscriber,113,11.15230088
baywheels,2017,10,3,NULL,Customer,39,128.6520513
baywheels,2017,10,3,NULL,Subscriber,40,11.708
baywheels,2017,10,4,NULL,Customer,15,44.30333333
baywheels,2017,10,4,NULL,Subscriber,90,8.828111111
baywheels,2017,10,5,NULL,Customer,51,100.3607843
baywheels,2017,10,5,NULL,Subscriber,400,10.9681
baywheels,2017,10,6,NULL,Customer,132,47.31719697
baywheels,2017,10,6,NULL,Subscriber,1692,9.869680851
baywheels,2017,10,7,NULL,Customer,492,25.02873984
baywheels,2017,10,7,NULL,Subscriber,5261,10.7353621
baywheels,2017,10,8,NULL,Customer,1263,30.05369755
baywheels,2017,10,8,NULL,Subscriber,11270,11.19632831
baywheels,2017,10,9,NULL,Customer,1240,39.55800806
baywheels,2017,10,9,NULL,Subscriber,8561,10.95420161
baywheels,2017,10,10,NULL,Customer,1273,47.99980361
baywheels,2017,10,10,NULL,Subscriber,3980,11.56647487
baywheels,2017,10,11,NULL,Customer,1540,51.30311039
baywheels,2017,10,11,NULL,Subscriber,3429,11.63111986
baywheels,2017,10,12,NULL,Customer,1660,46.59093976
baywheels,2017,10,12,NULL,Subscriber,3840,11.77740365
baywheels,2017,10,13,NULL,Customer,1950,40.06555385
baywheels,2017,10,13,NULL,Subscriber,3578,12.52844606
baywheels,2017,10,14,NULL,Customer,1659,38.41683544
baywheels,2017,10,14,NULL,Subscriber,3230,11.82774613
baywheels,2017,10,15,NULL,Customer,1654,38.2486578
baywheels,2017,10,15,NULL,Subscriber,3954,11.86674254
baywheels,2017,10,16,NULL,Customer,1856,35.4783944
baywheels,2017,10,16,NULL,Subscriber,6642,11.50197531
baywheels,2017,10,17,NULL,Customer,2068,35.22751934
baywheels,2017,10,17,NULL,Subscriber,10885,11.16211024
baywheels,2017,10,18,NULL,Customer,1646,30.79116646
baywheels,2017,10,18,NULL,Subscriber,8328,12.15664145
baywheels,2017,10,19,NULL,Customer,910,32.54273626
baywheels,2017,10,19,NULL,Subscriber,4566,12.51125931
baywheels,2017,10,20,NULL,Customer,596,28.51743289
baywheels,2017,10,20,NULL,Subscriber,2834,11.51345448
baywheels,2017,10,21,NULL,Customer,484,43.21134298
baywheels,2017,10,21,NULL,Subscriber,2104,12.08609791
baywheels,2017,10,22,NULL,Customer,376,44.63928191
baywheels,2017,10,22,NULL,Subscriber,1343,12.21418466
baywheels,2017,10,23,NULL,Customer,220,45.17013636
baywheels,2017,10,23,NULL,Subscriber,810,12.19298765
baywheels,2017,11,0,NULL,Customer,104,57.71730769
baywheels,2017,11,0,NULL,Subscriber,385,12.5807013
baywheels,2017,11,1,NULL,Customer,63,60.31079365
baywheels,2017,11,1,NULL,Subscriber,181,19.05066298
baywheels,2017,11,2,NULL,Customer,52,109.7103846
baywheels,2017,11,2,NULL,Subscriber,109,12.79605505
baywheels,2017,11,3,NULL,Customer,28,66.18821429
baywheels,2017,11,3,NULL,Subscriber,53,19.30981132
baywheels,2017,11,4,NULL,Customer,19,65.84315789
baywheels,2017,11,4,NULL,Subscriber,115,12.63226087
baywheels,2017,11,5,NULL,Customer,40,78.1675
baywheels,2017,11,5,NULL,Subscriber,395,10.92653165
baywheels,2017,11,6,NULL,Customer,137,42.69416058
baywheels,2017,11,6,NULL,Subscriber,1592,9.409101759
baywheels,2017,11,7,NULL,Customer,398,31.59743719
baywheels,2017,11,7,NULL,Subscriber,4965,10.69365358
baywheels,2017,11,8,NULL,Customer,994,32.83091549
baywheels,2017,11,8,NULL,Subscriber,10022,11.27179605
