"provider","name","station_id","latitude","longitude","docks","duration_minutes","start_station_count","year","end_count"
"santander","Podium, Queen Elizabeth Olympic Park",789,"51.538718","-0.011889","40","37.40","16096",2018,"16293"
"santander","Baylis Road, Waterloo",272,"51.501445","-0.110699","22","16.18","29393",2018,"30367"
"santander","Porchester Place, Paddington",169,"51.514746","-0.165164","18","21.50","17635",2018,"16222"
"santander","Cromer Street, Bloomsbury",793,"51.528279","-0.119559","28","16.30","8441",2018,"7635"
"santander","Waterloo Place, St. James's",160,"51.506633","-0.131774","19","30.09","17710",2018,"18391"
"santander","Queensbridge Road, Haggerston",536,"51.53385","-0.06992","35","16.89","8032",2018,"6566"
"santander","Waterloo Bridge, South Bank",377,"51.505354","-0.113657","15","20.58","7565",2018,"8029"
"santander","Stamford Street, South Bank",197,"51.505569","-0.111607","27","16.90","16468",2018,"18065"
"santander","Battersea Church Road, Battersea",700,"51.476965","-0.174347","24","18.83","10369",2018,"9541"
"santander","Flamborough Street, Limehouse",480,"51.512871","-0.038987","25","19.44","18967",2018,"18834"
"santander","Pott Street, Bethnal Green",479,"51.527152","-0.058005","19","16.06","16708",2018,"15651"
"santander","Moor Street, Soho",386,"51.513528","-0.130111","16","21.99","19880",2018,"20391"
"santander","Walworth Square, Walworth",725,"51.491327","-0.096519","24","14.38","1095",2018,"831"
"santander","Wendon Street, Old Ford",721,"51.536039","-0.026263","17","19.18","7057",2018,"6576"
"santander","Chrisp Street Market, Poplar",516,"51.5112","-0.014438","18","22.83","5683",2018,"5896"
"santander","Granby Street, Shoreditch",486,"51.525645","-0.069543","37","16.58","17617",2018,"16058"
"santander","South Wharf Road, Paddington",186,"51.517336","-0.175811","14","21.89","18357",2018,"17370"
"santander","Houndsditch, Aldgate",779,"51.514449","-0.077179","28","13.60","12324",2018,"13197"
"santander","Paddington Street, Marylebone",56,"51.520584","-0.154701","16","18.53","11676",2018,"11214"
"santander","Northfields, Wandsworth",688,"51.460952","-0.200668","28","22.36","5422",2018,"5112"
"santander","Ravenscourt Park Station, Hammersmith",668,"51.494224","-0.23677","22","32.19","8713",2018,"9016"
"santander","Breams Buildings, Holborn",84,"51.515937","-0.111778","25","13.80","10902",2018,"10792"
"santander","East Road, Hoxton",50,"51.528673","-0.087459","27","13.91","11491",2018,"10262"
"santander","Paddington Green, Paddington",370,"51.520205","-0.174593","19","22.35","2970",2018,"2365"
"santander","Bruton Street, Mayfair",44,"51.510737","-0.144165","21","21.26","8793",2018,"10109"
"santander","Lambeth North Station, Waterloo",284,"51.499141","-0.112031","20","16.78","9361",2018,"9068"
"santander","George Street, Marylebone",400,"51.517703","-0.154106","26","18.22","15299",2018,"16450"
"santander","Rodney Road , Walworth",223,"51.491485","-0.090221","22","19.37","12842",2018,"11693"
"santander","Prince of Wales Drive, Battersea Park",756,"51.475154","-0.15917","21","23.42","11088",2018,"10524"
"santander","King Edward Street, St Pauls",557,"51.51601","-0.0985","20","14.35","7978",2018,"9134"
"santander","Dock Street, Wapping",237,"51.509786","-0.068162","26","17.79","14535",2018,"14622"
"santander","South Kensington Station, South Kensington",356,"51.494412","-0.173881","15","19.98","32639",2018,"32518"
"santander","Ontario Street, Elephant & Castle",324,"51.49652","-0.101384","14","16.89","14985",2018,"15054"
"santander","London Zoo, The Regent's Park",271,"51.535836","-0.156285","32","27.87","9651",2018,"9067"
"santander","Ethelburga Estate, Battersea Park",658,"51.477292","-0.164786","30","20.61","22288",2018,"21590"
"santander","Cadogan Gardens, Chelsea",395,"51.492462","-0.159919","15","18.28","15917",2018,"16548"
"santander","Boston Place, Marylebone",45,"51.522511","-0.162298","26","18.62","24140",2018,"20433"
"santander","Columbia Road, Shoreditch",401,"51.528187","-0.075375","23","15.89","15655",2018,"13300"
"santander","Charlbert Street, St. John's Wood",7,"51.5343","-0.168074","16","25.26","6496",2018,"5623"
"santander","Stanley Grove, Battersea",690,"51.470475","-0.15213","24","19.58","5180",2018,"4873"
"santander","The Guildhall, Guildhall",120,"51.515735","-0.093081","17","14.23","9112",2018,"9957"
"santander","Saunders Ness Road, Cubitt Town",481,"51.487129","-0.009001","34","41.20","10451",2018,"11262"
"santander","Broadwick Street, Soho",260,"51.513685","-0.135581","18","19.51","11071",2018,"11067"
"santander","Storey's Gate, Westminster",762,"51.500703","-0.129699","21","28.06","40675",2018,"43780"
"santander","Seymour Place, Marylebone",605,"51.520331","-0.163667","29","17.34","13012",2018,"12084"
"santander","Bow Church Station, Bow",495,"51.528169","-0.018703","36","23.89","11058",2018,"10671"
"santander","Barbican Centre, Barbican",275,"51.520045","-0.092176","18","14.89","11737",2018,"12029"
"santander","Felsham Road, Putney",693,"51.464786","-0.215619","18","36.73","7343",2018,"7545"
"santander","Greyhound Road, Hammersmith",635,"51.486062","-0.214428","37","16.78","10836",2018,"10366"
"santander","Pitfield Street Central, Hoxton",569,"51.53213","-0.08299","29","14.71","9815",2018,"7546"
"santander","Kingsway Southbound, Strand",594,"51.513875","-0.117774","33","18.64","13114",2018,"14120"
"santander","Broadcasting House, Marylebone",6,"51.518118","-0.144229","18","18.76","14980",2018,"15263"
"santander","Christopher Street, Liverpool Street",3,"51.521284","-0.084606","31","15.12","16865",2018,"19132"
"santander","Russell Gardens, Olympia",515,"51.500088","-0.211316","24","16.60","5221",2018,"4999"
"santander","Millharbour, Millwall",473,"51.496137","-0.019355","19","27.81","2364",2018,"2496"
"santander","Vauxhall Cross, Vauxhall",74,"51.485917","-0.12447","11","16.87","30583",2018,"30004"
"santander","Crabtree Lane, Fulham",655,"51.482945","-0.219346","27","19.19","7474",2018,"7165"
"santander","Belvedere Road 2, South Bank",819,"51.50621","-0.114842","38","23.27","13236",2018,"13512"
"santander","Calshot Street , King's Cross",70,"51.531361","-0.11707","24","18.06","3877",2018,"2934"
"santander","Westfield Ariel Way, White City",566,"51.509158","-0.224103","42","28.28","7466",2018,"7904"
"santander","Lambeth Road, Vauxhall",139,"51.494881","-0.117975","16","14.99","7951",2018,"7558"
"santander","Wright's Lane, Kensington",157,"51.500398","-0.193068","37","20.19","20353",2018,"21251"
"santander","Bury Place, Holborn",562,"51.51746","-0.12335","21","17.82","10266",2018,"10838"
"santander","St. John's Park, Cubitt Town",504,"51.496454","-0.009506","30","22.37","1667",2018,"1542"
"santander","Vauxhall Bridge , Pimlico",146,"51.488365","-0.129362","33","21.86","6752",2018,"6668"
"santander","Portman Square, Marylebone",514,"51.516204","-0.155525","17","20.19","11865",2018,"12635"
"santander","Cadogan Close, Victoria Park",692,"51.542119","-0.028942","22","25.93","15345",2018,"15070"
"santander","Wormwood Street, Liverpool Street",217,"51.516155","-0.082422","12","14.86","43971",2018,"45071"
"santander","Farringdon Lane, Clerkenwell",72,"51.52352","-0.10834","16","15.53","12635",2018,"12551"
"santander","Bayley Street , Bloomsbury",88,"51.518588","-0.132053","24","17.11","17082",2018,"17695"
"santander","St. James's Square, St. James's",228,"51.507425","-0.134621","39","21.09","27083",2018,"35282"
"santander","Bedford Way, Bloomsbury",287,"51.523673","-0.128378","23","15.90","9524",2018,"8878"
"santander","South Lambeth Road, Vauxhall",600,"51.481747","-0.124642","21","19.30","8077",2018,"7963"
"santander","Allington Street, Victoria",826,"51.496863","-0.142943","28","22.03","24505",2018,"24204"
"santander","Alma Road, Wandsworth",724,"51.457991","-0.184806","28","19.98","4735",2018,"3714"
"santander","Duke Street Hill, London Bridge",732,"51.506304","-0.087263","18","19.70","41430",2018,"42209"
"santander","New Road 1 , Whitechapel",206,"51.518154","-0.062697","36","17.99","17516",2018,"17275"
"santander","Great Suffolk Street, The Borough",645,"51.501732","-0.100292","21","12.93","11993",2018,"11199"
"santander","Howland Street, Fitzrovia",357,"51.520994","-0.139016","30","15.68","17186",2018,"18214"
"santander","Old Brompton Road, South Kensington",216,"51.490946","-0.181191","30","16.26","14595",2018,"13508"
"santander","Falcon Road, Clapham Junction",638,"51.466634","-0.169821","28","16.40","20334",2018,"20443"
"santander","Maclise Road, Olympia",687,"51.497608","-0.211456","26","14.41","11266",2018,"10747"
"santander","Derry Street, Kensington",133,"51.501365","-0.191462","17","17.75","27422",2018,"27924"
"santander","Pont Street, Knightsbridge",143,"51.496887","-0.161204","24","18.35","10879",2018,"11240"
"santander","Stratford Station, Stratford",790,"51.541793","-0.00481","27","30.03","10505",2018,"10807"
"santander","Great Tower Street, Monument",199,"51.510485","-0.08299","22","18.01","29917",2018,"32498"
"santander","Drury Lane, Covent Garden",18,"51.514771","-0.12222","27","16.61","25651",2018,"26042"
"santander","Carey Street, Holborn",232,"51.51501","-0.112753","16","14.39","5280",2018,"5770"
"santander","Bridge Avenue, Hammersmith",730,"51.492085","-0.229117","17","24.10","11363",2018,"11443"
"santander","Bromley High Street, Bow",484,"51.528828","-0.013258","23","32.89","3723",2018,"3632"
"santander","Napier Avenue, Millwall",454,"51.487679","-0.021582","19","26.03","4531",2018,"4527"
"santander","Bramham Gardens, Earl's Court",219,"51.490164","-0.190394","29","17.94","16085",2018,"14775"
"santander","Stewart's Road, Wandsworth Road",714,"51.473117","-0.137235","28","19.53","4747",2018,"4187"
"santander","Walmer Road, Avondale",442,"51.510101","-0.211358","24","16.62","5520",2018,"5215"
"santander","Hibbert Street, Battersea",673,"51.465171","-0.180389","36","21.15","8555",2018,"8502"
"santander","Evesham Street, Avondale",652,"51.511487","-0.21819","28","15.82","3792",2018,"3782"
"santander","Victoria Park Road, Hackney Central",719,"51.536425","-0.054162","34","23.46","17924",2018,"17787"
"santander","Finlay Street, Fulham",615,"51.476885","-0.215896","24","20.30","10934",2018,"10576"
"santander","Christian Street, Whitechapel",489,"51.513074","-0.064094","34","15.62","14724",2018,"11977"
"santander","Grove End Road, St. John's Wood",312,"51.530889","-0.176771","20","25.12","10599",2018,"9311"
"santander","Park Lane , Hyde Park",111,"51.510017","-0.157276","27","43.98","37071",2018,"36243"
"santander","Taviton Street, Bloomsbury",19,"51.525051","-0.131161","30","14.73","13368",2018,"12728"
"santander","Snowsfields, London Bridge",706,"51.502154","-0.083633","31","18.00","14262",2018,"15225"
"santander","Westminster Pier, Westminster",818,"51.501513","-0.123823","27","23.20","17447",2018,"17051"
"santander","Drummond Street , Euston",20,"51.527326","-0.136053","26","15.76","6390",2018,"5124"
"santander","Curzon Street, Mayfair",49,"51.507069","-0.145904","15","22.85","8987",2018,"10208"
"santander","Shouldham Street, Marylebone",396,"51.51809","-0.163609","15","17.29","9879",2018,"9005"
"santander","Lollard Street, Vauxhall",117,"51.492881","-0.114934","25","11.96","12775",2018,"10711"
"santander","Hampstead Road, Euston",98,"51.525542","-0.138231","53","17.01","18921",2018,"14199"
